DATE,DPCERG3A086NBEA
1929-01-01,9.314
1930-01-01,8.92
1931-01-01,7.965
1932-01-01,7.024
1933-01-01,6.774
1934-01-01,7.081
1935-01-01,7.256
1936-01-01,7.323
1937-01-01,7.59
1938-01-01,7.417
1939-01-01,7.345
1940-01-01,7.407
1941-01-01,7.868
1942-01-01,8.847
1943-01-01,9.661
1944-01-01,10.216
1945-01-01,10.625
1946-01-01,11.364
1947-01-01,12.517
1948-01-01,13.225
1949-01-01,13.122
1950-01-01,13.278
1951-01-01,14.182
1952-01-01,14.473
1953-01-01,14.663
1954-01-01,14.787
1955-01-01,14.845
1956-01-01,15.14
1957-01-01,15.6
1958-01-01,15.969
1959-01-01,16.207
1960-01-01,16.473
1961-01-01,16.644
1962-01-01,16.839
1963-01-01,17.04
1964-01-01,17.287
1965-01-01,17.536
1966-01-01,17.979
1967-01-01,18.431
1968-01-01,19.152
1969-01-01,20.015
1970-01-01,20.951
1971-01-01,21.841
1972-01-01,22.586
1973-01-01,23.802
1974-01-01,26.28
1975-01-01,28.47
1976-01-01,30.032
1977-01-01,31.986
1978-01-01,34.211
1979-01-01,37.251
1980-01-01,41.262
1981-01-01,44.958
1982-01-01,47.456
1983-01-01,49.474
1984-01-01,51.343
1985-01-01,53.134
1986-01-01,54.29
1987-01-01,55.964
1988-01-01,58.151
1989-01-01,60.69
1990-01-01,63.355
1991-01-01,65.473
1992-01-01,67.218
1993-01-01,68.892
1994-01-01,70.33
1995-01-01,71.811
1996-01-01,73.346
1997-01-01,74.623
1998-01-01,75.216
1999-01-01,76.338
2000-01-01,78.235
2001-01-01,79.738
2002-01-01,80.789
2003-01-01,82.358
2004-01-01,84.411
2005-01-01,86.812
2006-01-01,89.174
2007-01-01,91.438
2008-01-01,94.18
2009-01-01,94.094
2010-01-01,95.705
2011-01-01,98.131
2012-01-01,100.0
2013-01-01,101.346
2014-01-01,102.83
2015-01-01,103.045
2016-01-01,104.091
2017-01-01,105.929
2018-01-01,108.143
2019-01-01,109.654
